BRAIN_root::brainData,ID
"0010001000010011000101000000000000000000010010000000100010100111010010000011001000000000000010000001100001001011000000000000001100001000010000010000000010000010110100010000000001000000000000000000000000000000000010000000010000000000000000010000001000000000000000000001100010001011000000001001000000010100010000000000010000000010000000000000000000000000001000101001110000000000000010100010000000000000000001000001010110000000000000000000000000000000000010001001100001110010000000110000000111000000100000010011001000000000000000000000000000000000000101000000100000000100000000100000000000001000000000001001100000001000000001000001000010000000000001001111001000010000000000000010001100000000000000001000000000100100100000000000101000001000010110000010000000000000000001000100000100001000000000100100000100000000000000000000001001111000000001101000010000000000100101000000000110000000000000000011000000001000000000000010000000100000000100000010001010000101000000000100000000000000010000000000100000000001|78^61^75^11|961^931",900001
"0010001000010010000101000001000100000000010010000000100000100111010010000010000000000000001010000101100001001001000000000000011100001000010000010000000010000010010000010000000001000000000000000000000000000000000010000000010000000000000000010000001000000000000000000001100010001011000000001000000000011100010000000000010000000010000001000000000000000000001000101001010000000000000010110010000010000000000000001001000011000000000000000000000010000000000000001001110001110000000000110000000111000000100000010010011000000000010000000000000000000000000101000000100000000000000000100000000000001000000000001000100000101000000011000011000000000000000000001111001000000100000000000000001100001000000000001000000000100100000000000000101000001000010110000000010000001000000001000100000100001000000000000100000100000000000000000000001001110000000000101000000000000000100101000000000010010001000000000011000000000100000000000000000000000001000100000010000010000101000000000100010000000001010000100000100000000000|31^61^97^11|961^931",900002
"0010001001010010000101000001000100000000010010000000100000100111011010010000000000000000000010000001100001001001000000000000001100001000010000010000000010000010110100010000000001000000000001000000000000000000000010000000010000010000000000010000001000000100000000000001100010001010000000001000000000011100010100000000010000000010000001000000010000000000001000100001010000000000000010100010000000000000000000001001000010000000000000000000000010000000000000001001110001110000000000110000000111000000000000000010001000000000000000000000000000000000000101000000100000000000000000000000000000001000000000001001100000000000000011000011000000000000000000001111001000010000000000000010001100001000000000000000000000110100100000000000101000001001010110100000000000010000000001000100000100001000000000100100000000000001000000000000001000111010000001101000000000000000100101000000000010000000000000001011000000100000000000100010000000000000000100000000001010000101000000100100000000000000000000100000100000000001|31^61^71^11|961^931",900003
"0010001001010010000101000001000100000000010010000000100000100111011010010000000000000000000010000001100001001001000000000000001100001000010000010000000010000010110100010000000001000000010001000000000000000000000010000000010000010000000000010000001000000000000000000001100010001010000000001000000000011100010100000000010000000010000001000000010000000000001000100001010000000000000010100010000000000000000000001000000010000000000000000000000010000000000000001001110001110000000000110000000111000000000000000010001000000000000000000000000000000000000101000000100000000000000000000000000000001000000000001001100000000000000011000011000000000000000000001111001000010000000000000010001100001000000000000000000000110100100000000000101000001000010110100000000000010000000001000100000100001000000000100100000000000001000000000000001000111010000001101000000000000000100101000000000010000000000000001011000000100000000000100010000000000000000100000000001010000101000000100100000000000000000000100000100000000001|31^61^71^11|961^931",900004
"0010001000010010000101000001000100000000010010000000100000100111010010000010000000000000001010000101100001001001000000000000011100001000010000010000000010000010000100010000000001000000000000000000000000000000000010000000010000000000000000010000001000000000000000000001100010001011000000001000000000011100010000000000010000000010000001000000000000000000001000101001010000000000000010110010000010000000000000001001000011000000000000000000000010000000000000001001110001110000000000110000000111000000100000010010011000000000010000000000000000000000000101000000100000000000000000100000000000001000000000001000100000101000000011000011000000000000000000001111001000000100000000000000001100001000000000001000000000100100000000000000101000001000010110000000010000001000000001000100000100001000000000000100000100000000000000000000001001100000000000101000000000000000100101000000000010010001000000000011000000000100000000001000000000000001000100000010000010000101000000000100010000000001010000100000100000000001|31^61^97^11|961^931",900005
"0010001000010010000001000001000100000000010010000000100000100111010010000010000000000000000010000101100001001001000000000000011100001000010000010000000010000010110100010000000001000000000000000000000000000000000010000000010000000000000000010000001000000000000000000001100010001011000000001000000000011100010000000000010000000010000001000000000000000000001000101001010000000000000010110010000010000000000000001001000011000000000001000000000010000000000000001001110001110000000000110000000111000000100000010010011000000000010000000000000000000000000101000000100000000000000000100000000000001000000000001000100000001000000011000011000000000000000000001111001000000100000000000000001100001000000000001000000000100100000000000000101000001000010110000000010000001000000001000100000100001000000000000100000100000000000000000000001001110000000000101000000000000000100101000000000010010000000000000011000000000100000000000000000000000001000100000010000010000101000000000100010000000001010000100000100000000001|31^61^97^11|961^931",900006
"0010000000010010000101000001000100000000010010000000100000100111010010000010000000000000000010000101100001001001000000000000011100101000010000010000000010000010110100010000000001000000000000000000000000000000000010000000010000000000000000010000001000000000000000000001100010001011000000001000000000011100010000000000010000000010000001000000000000000000001000101001010000000000000010110010000010000000000000000001000011000000000000000000000010000000000000001001110001110000001000110000000111000000100000010010001000000000010000000000000000000000000101000000100100000000000000100000000000001000000000001000100000001000000011000001000001000000000000001111001000000100000000000000000100001000000000000000000000100100000000000000101000001000010110000000010000001000000001000100000100001000000000000100000100000000000000000010001001110000000000101000000000000000100101000000000010000000000000000011000000000100000000000000000000000001001100000010000010000101000000000100010000000001010000100000100000000001|31^61^97^11|961^931",900007
"0010001000010010000101000000000100000000010010000000100010100111010010000010000000000000000010000101100001001011000000100000001100001000011000010000000010000010110100010000000001000000000000000000000000000000000010000000010000000000000000010000001000000000000000000001100010001011000000001000000000011100010000000000001000001010001001000000000000000000001000100001010000000000000010100010000000000000000001011001010010000000000000000000000010000000000000001001100001110000000000110010100111000000110000010010001000000001000000001000000000000000000101000000100000000000000000100000000000001000000000001001100010001000000001000010000011000000000000001111001000010000000000000010001100000000000000001000000000100100100000000000001000000000010110000000010000000000000011000100000100001000000000100100000100000000000000000000001001111000000001101000010000000000100100001100000010000000000000001001000001000000000000000010000000100001000100000010000010000101000000000100000000000000010000100000100000000001|31^61^97^11|961^931",900008
"0010000000010010000101000000000100000000010001000000100000100111010010000010000100000000000110000001000110001001000000000000000110001000110000010000000010000010010100010000001001000000000001000000000000000000000010000000010000000010000000010000001100000000000000000001100010001010000000001001000010010100010000000000010100001000000001000000000000000010001000101001010000000000000001100010000000000000000100001001100010010000000000000100100000000000000000001001100001110000000000100000000111100000000000000010010000000000010000000000000000000000000101010000100000000000000001000000000000001000000000000100000000000010000100000000000100010000000000101011000000010000000000000010100100100000000000001000000000100000100011000000011010001001010000100000000000010000000000000100000100000000100000000000010100000000100000000000001001010000000000000000000001000000101101000000000000000000000000101010000000000010101100100000100000000000000100000100001010000001000010000100000000000000000100100000100000001000|31^61^45^11|961^931",900009
"0000001000010010000101000000000100000000010011000000100000100111000010001011000000000000000100000001000011000001000000000000100110001000010000010000000010000010110100010000001001000000000001000000000000000000000010000010010000000010000000000000001101000000000000000001100010001010000000001000000000010100000100000100011000001000000000000000000000000000001000101101010000010000000010100010000000000000000000001001100000000000000000001100000000000000000001001001100001110000000000100000000101000000000000000011000000000000010000000000001000000000000101000000100000000000000000000000000000001001000000101000100000001000000110000010000000000000100000101101000000011000000000000000000100001000000000101000001000000000100001000000101010001000001100000000000001010000000000100100000000000000100000000010000100000000100000000000001001111000000000000000000001000000101110000000000010001000000001101010000000000010101000100000000000000000000100000100100010011101000000000100000000000000000000100000100010001000|31^61^45^11|961^931",900010
"0010001001010010000101000001000100000000010010000000100000100111011010010000000000000000000010010001100001001001000000000000001100001010010000010000000010000010110100010000000001000000000001000000000000000001000010000000010000010001000000010000001000000000000000000001100010001011000000001000000000010100010100000000010000000010000001000000010000000000000000101001010000000000000010100010000000000000000000001001000010000000000000000000000010000000000000001001110001110000000000110000000111000000000000000010001000000000000000000000000000000000000101000000100000000000000000000000000000001000000000000001100000001000000111000011000000000000000000001111001000010000000000000010001100001000000000000000000000110100100000000000101000001000010010100000000000010000000001000100000100101000000000100100001000000000000000000000001000111010000001101000000000000000100101000000000010000000000000001011000000100000000000100010000000000000000100000000001010000101000000000100000000000000000000100000100000000001|31^61^71^11|961^931",900011
