BRAIN_root::brainData,ID
"0010000010000000111110100000000000001000000000000000001000000000000010000000100100000111000000110000100000100000000100000000000100000010001000000000001100110000000000000110000000100001011000000000000000000001000100000000000000000000100010000000000000000000001010000000100110000000000000000101000001000000011100001000000000000000000001010000000000000001000000000000010000010001000001001010000000000000000010010100000000000101000101100000010010001100000000000010100000000101000010001000000000000000000100000000000000101000000000000000000000001000110000000000001110000111001101001100000000100000000000000000000000000000000000001000000100000100000000000000000000000000000001010010000000000000000000000010101100000000000000000010100011000000010000000000110010000001000010001000000000000010010010000100100100000000010000000001000000000001000010000010000000000000000000001001000000000000010010000001010000000010000000000000100010010010000000000100000000100000000000100000000000010110010000010000000000000001|79^87^95^19|983^971",900001
"0010000010000000011100000010000000000000000000000000000000000000100010100000100100000111010001110010000000100010000000000000000100000000001000001000001100000001100000000010000000000001011000000100000000000000100100000000000000000000000010001000000000100000101000000000110110000000000000000100000001000000001101000100000000000000000000010000000000000000100000000000010000000000000101000010000000000000000010010000000000000100100001000000000000001100110000000010100000000101010010001000000000100000010000001000000000100011000000000100000000011000011000000000100010000111001101001100000001100000000000000000000000010000000000000000001000000000100010000000000000000000000000010010000000000000000000000010001000000010000000000000100011001000010000000000110010000010010000001100000000010010010010000101000000000000011010010000000000000100000010001000000000010000000000000000000000000100010010100000010100010010000000011000000010000000100000001000000000101000000001100000000000000100010000010000101000000000|79^87^95^19|983^990",900002
"0010100000000000011110100000000000000000000000000000001000000000100010000000100100000111011000110000000000100000000000000000000100100000001000000000001100000001000000000000000010000001011000000100000000000000100100000000000000000000000010000000001000000000001000000000110110000000000000000101001001000000001101000100000000000010001001010000000000000000000000000100010000000000000101001010000000000000000010000100000000001100100001100000000000001100110000000010000000000001000010001000000000000000010000010000000000100000000000000001000000011000011000000000100010000111001101001000000000100000000000000000000000010010000100100000001000000000100000000000000000000000010000010010000000000000000000000010001000000000000000000000100011000000010000000000110010010010010000001100000000010010010010000001000000000000000000010001000000000101000010001010000000010000000100000000000000000000010010010000010100011010000000010000000010000000000000000000100000100000000001100000000000000110000000010000101000000001|79^87^95^19|983^990",900003
"0001010000000100100100001000100100000000000000000110000000000000000100010000100100000111000000110000101000000011000001000000000100000100000101000000011100100000000000000010110000000001011001000000000001000000001100000000000000000001000010000010000000101000000000000000101011000000000000000100000001000001000000010010000000010000100000000000100001000000110000001000010100001000010001100010000000000000000100000000010000010110000000000101000000000100000000000010000000000001000010001000000001000000010000000000000000000100100000001000000000011011010000000100101010000111001100001100000001010010000000010000101010001100010000000000010000000000000000000010110000000000000000010010000000000000000000000001001000001100100000000000100000000001010000000000010000000111000000010000000000000010010000000000001110000000001111001101000000000000011010001010000001000111010000001000010000000000000010000001010000000100010000000000000010000100000000001000010000000000000000100000010000010000100000000000001000000000|71^87^95^19|958^990",900004
"0010100010000000011110100000000100000000000000000000001000000000100010000000100100000111010000110000000000100000000000000000000100100010001000000000001100000001000000100000000000000001011000000100000000000000100100000000000000000000000010000000000000000000001000000000100110000000000000000101001001000000001101000100000000000010001001010000000000000000100000000000010000000000000101001010000000000000000010010100000000001100100001000000000000001100110000000010100000000101000010001000000000100000010000010000000000100000000000000001000000011000011000000000100010000111001100001100000000100000000000000000000000010010000000100000001000000000100000000000000000000000000000010010000000000000000000000010001000000000000000000000100011000000010000000000110011010010010010001100000000010010010010000101000000000000001000010001000000000101000010001010000000010000000000000000000000000000010010010000010100010010000010000000000010000000000000000000000000100000000001100000000000000110010000010000101000000001|79^87^95^19|983^990",900005
"0010001010000000011110100000000000000000001000000000001000000001100010100000100100000111011000110010000000100010000000000000000100000000001000001000001100000001000000000001000000000001011000000100000000000000000110000000001000000000000010001000000000000000101000000000110110000000000000000100001001000000001100000100000000000000000001010100000000000000100000000000010000010000000101000010000010000000000010010000000000000100110001000000000000001100110000000000100000000101000010001000000000100000010100010000000000100000000000000001000000011000011000000000100010000111001101001100000000100000000000000000000000010001000000101000001000000000100010000000000000000000000000010010000000000000000000000010000000000000000000000000100011000000010000000000110010000010010000001100000000010010010010000001100100000000001010010001000000000101000010000010000000010000000000000000100000000110010010010000010100010010000000001000000010000000100000000000000000100000000001100000000000000100010000010000101000000000|79^87^95^19|983^990",900006
"0000000010000000011110100000000000000000000000000000001000000100101010000000100100000111011000110000000010000000000000000000000100100010001000000000001100000001000000000000000000000001011000000100000000000000100101000000010000000000000010001000001000000100000000000000010110000000000000000101001001000000001101000100000000001100000001010000000000000000100000000000010000000000000101001010000000000000000010110100000000001100100000100000000000001100100000000000100000000101000010001000000000101000010000010000000000000000000000000001000000011000011000000000000010000111001101001100000000100000000001000000100000010010000000100000001000000000100000000000010000000000000000010010000000000000000000000010000000000000000000000000100011000000010000000000110010010010010010001100001000000010000010100101000010000100000000010001000000000101000010001010000000010000000100000100000000000000010010010000000100010010000000100000000010000000000000000000000000100000000001100000000000000110000000010000101000000001|79^87^95^19|983^990",900007
"0010100010000000011110100000000000001000000000000000001000000000100010000000100100000111011000110000000000100000000000000000000100100010001000000000001100000001000000000001000000000001011000000100000000000000100100000000000000000000000010000000000000000000001000000000110110000000000000000101001001000000001101000100000000000010001001010000000000000000100000000000010000000000000101001010000000000000000010010100000000001010000001100000000000001100100000000000100000000101000010001000000000100000010000010000000000100000000000000001000000011000011000000000100010000111001101001100000000100000000000000000000000010011000000100000001000000000100000000000000000000000000000010010000100000000000000000010001000000000000000000000100011000000000000001000110011010010010010001100000000110010010010000101000000000000001000010001000000000101000010001010000000010000000100000000000000000000010010010001010100010010000010000000000010000000000000000000000000100000000001100000000000000010000000010000101000000001|79^87^95^19|983^990",900008
"0000010000000100100000001000100100000000000000000110000000000000000100010000100100001111100000110000101000000011000001000000000100000100000101000000011100100000000000000000110000000001011001000000000000000000001100000000000000000001000010000010000000001000000000000000101011000000000000000100000001000001000000010010000000010000100000010000100001000000110000001000010100001000010001100010000000000001000100000000010000010110000000000101000000000100000000000010000000000001000010001000000001000000010000001000000000000100100000001000000000011011010000000100101010000111001100001100000001010010000000010000101010001100010000000000010000000000000000000010000000000000000000010010000000000000000000000001001000001100100000000000100000000001010000000000010000000111000000010000000000000010010000000000000010000000001111001101000100000000010010001010000001000111010000001000010000000000000010000001010000000100010100000000000010000100000000001000010000000100001000100000000000010000110000010000001000000000|71^87^95^84|983^990",900009
"1000000010000000011110101000000000000000000000000000001000000100101010000000100100000111011000110000000000000000000000000000000100100000001000000000001100000001000000000000000000000001011000000100000000000000100101000000010000100000000010001000001000000100000000000000010110000000000000000101001001000000011101000100000000000100000001010000000000000000100000000000010000000000000101001010000000000000000010110100000000001100100000100000000000001100100000000000100000000101000010001000000000101000010000010000000000000000000000000001000000011000011000000000100010000111001101001100000000100000000001000000100000010010000000100000001000000000100000000000010000000000000000010010000000000000000000000010000000000000000000000000100011000000010000000000110010010010010010001100001000000010010010100101000010000100000000010001000000000101000010001010000000010000000100000000000000000000010010010000000100010010000000100010000010000000000000000000000000100000000001100000000000000110000000010000101000000001|79^87^95^19|983^990",900010
"0010100010000000011110100000000000000000000000000000000000000000100010000000100000000111011000110000000000100000000000000000000100100000001000000000000100000001000000000000000000000001011000000100000000000000100100000000000000000000000010000000001001000000001000000000110110000000000000000101001001000000001101000100000000000110001001011000000000000000100000000100010000000000000101001010000000000000000010000100000000001100100001100000000000001100110000000010000000000101000010001000000000000000010000010000000000100000000000000001000000011000011000000000100010000111001100001100000000100000000000000000000000010010000100100000001000000000100000000000000000000000000000010010000000000000000000000000001000000000000000000000100011000000010000000000110010110010010000001100000000010010010010000001000000000000000000011001000000000101000010001010000000010000000100000000000000000000010010010000010100000010000000010000000010000000000000000000100000100000000001100000000000000110000000010000101000000001|64^87^95^19|983^990",900011
