ID,alive,nBack_1_AVE,nBack_1_LIST,nBack_2_AVE,nBack_2_LIST,nBack_3_AVE,nBack_3_LIST,nBack_4_AVE,nBack_4_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,tournament_numOffspring,wireCount_AVE,wireCount_LIST,wireCountActive_AVE,wireCountActive_LIST,snapshotAncestors_LIST,update
4800001,1,0.500000,"0.500000",0.484000,"0.484000",0.488000,"0.488000",0.488000,"0.488000",0.490000,0.490000,"0.490000",47999,0,150.000000,"150",110.000000,"110","4700059",48000
4800002,1,0.480000,"0.480000",0.472000,"0.472000",0.468000,"0.468000",0.468000,"0.468000",0.472000,0.472000,"0.472000",47999,0,151.000000,"151",114.000000,"114","4700059",48000
4800003,1,0.520000,"0.520000",0.508000,"0.508000",0.508000,"0.508000",0.512000,"0.512000",0.512000,0.512000,"0.512000",47999,0,146.000000,"146",79.000000,"79","4700059",48000
4800004,1,0.920000,"0.920000",0.932000,"0.932000",0.940000,"0.940000",0.944000,"0.944000",0.934000,0.934000,"0.934000",47999,0,146.000000,"146",99.000000,"99","4700059",48000
4800005,1,0.932000,"0.932000",0.944000,"0.944000",0.948000,"0.948000",0.948000,"0.948000",0.943000,0.943000,"0.943000",47999,4,154.000000,"154",89.000000,"89","4700059",48000
4800006,1,0.476000,"0.476000",0.468000,"0.468000",0.480000,"0.480000",0.468000,"0.468000",0.473000,0.473000,"0.473000",47999,0,148.000000,"148",82.000000,"82","4700059",48000
4800007,1,0.520000,"0.520000",0.472000,"0.472000",0.540000,"0.540000",0.468000,"0.468000",0.500000,0.500000,"0.500000",47999,0,156.000000,"156",106.000000,"106","4700059",48000
4800008,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",47999,10,148.000000,"148",87.000000,"87","4700059",48000
4800009,1,0.524000,"0.524000",0.524000,"0.524000",0.488000,"0.488000",0.516000,"0.516000",0.513000,0.513000,"0.513000",47999,0,154.000000,"154",127.000000,"127","4700059",48000
4800010,1,0.504000,"0.504000",0.564000,"0.564000",0.520000,"0.520000",0.516000,"0.516000",0.526000,0.526000,"0.526000",47999,0,153.000000,"153",137.000000,"137","4700059",48000
4800011,1,1.000000,"1.000000",0.516000,"0.516000",0.512000,"0.512000",0.516000,"0.516000",0.636000,0.636000,"0.636000",47999,1,148.000000,"148",101.000000,"101","4700059",48000
4800012,1,0.476000,"0.476000",0.480000,"0.480000",0.480000,"0.480000",0.488000,"0.488000",0.481000,0.481000,"0.481000",47999,0,154.000000,"154",132.000000,"132","4700059",48000
4800013,1,0.468000,"0.468000",0.468000,"0.468000",0.472000,"0.472000",0.488000,"0.488000",0.474000,0.474000,"0.474000",47999,0,157.000000,"157",108.000000,"108","4700059",48000
4800014,1,0.552000,"0.552000",0.544000,"0.544000",0.552000,"0.552000",0.552000,"0.552000",0.550000,0.550000,"0.550000",47999,0,151.000000,"151",88.000000,"88","4700059",48000
4800015,1,1.000000,"1.000000",0.460000,"0.460000",0.464000,"0.464000",0.460000,"0.460000",0.596000,0.596000,"0.596000",47999,0,148.000000,"148",84.000000,"84","4700059",48000
4800016,1,0.460000,"0.460000",0.536000,"0.536000",0.460000,"0.460000",0.444000,"0.444000",0.475000,0.475000,"0.475000",47999,0,151.000000,"151",91.000000,"91","4700059",48000
4800017,1,0.488000,"0.488000",0.492000,"0.492000",0.480000,"0.480000",0.492000,"0.492000",0.488000,0.488000,"0.488000",47999,0,159.000000,"159",108.000000,"108","4700059",48000
4800018,1,1.000000,"1.000000",1.000000,"1.000000",0.512000,"0.512000",0.516000,"0.516000",0.757000,0.757000,"0.757000",47999,1,145.000000,"145",86.000000,"86","4700059",48000
4800019,1,0.496000,"0.496000",0.532000,"0.532000",0.532000,"0.532000",0.504000,"0.504000",0.516000,0.516000,"0.516000",47999,0,154.000000,"154",142.000000,"142","4700059",48000
4800020,1,0.396000,"0.396000",0.592000,"0.592000",0.408000,"0.408000",0.432000,"0.432000",0.457000,0.457000,"0.457000",47999,0,153.000000,"153",96.000000,"96","4700059",48000
4800021,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",47999,10,152.000000,"152",91.000000,"91","4700059",48000
4800022,1,0.488000,"0.488000",0.480000,"0.480000",0.484000,"0.484000",0.500000,"0.500000",0.488000,0.488000,"0.488000",47999,0,148.000000,"148",73.000000,"73","4700059",48000
4800023,1,1.000000,"1.000000",0.464000,"0.464000",0.464000,"0.464000",0.460000,"0.460000",0.597000,0.597000,"0.597000",47999,0,159.000000,"159",108.000000,"108","4700059",48000
4800024,1,0.544000,"0.544000",0.540000,"0.540000",0.532000,"0.532000",0.468000,"0.468000",0.521000,0.521000,"0.521000",47999,0,159.000000,"159",145.000000,"145","4700059",48000
4800025,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",47999,13,150.000000,"150",83.000000,"83","4700059",48000
4800026,1,0.520000,"0.520000",0.508000,"0.508000",0.528000,"0.528000",0.528000,"0.528000",0.521000,0.521000,"0.521000",47999,0,151.000000,"151",86.000000,"86","4700059",48000
4800027,1,0.444000,"0.444000",0.560000,"0.560000",0.572000,"0.572000",0.584000,"0.584000",0.540000,0.540000,"0.540000",47999,0,161.000000,"161",115.000000,"115","4700059",48000
4800028,1,0.480000,"0.480000",0.480000,"0.480000",0.488000,"0.488000",0.492000,"0.492000",0.485000,0.485000,"0.485000",47999,0,149.000000,"149",87.000000,"87","4700059",48000
4800029,1,1.000000,"1.000000",0.416000,"0.416000",0.420000,"0.420000",0.412000,"0.412000",0.562000,0.562000,"0.562000",47999,0,149.000000,"149",86.000000,"86","4700059",48000
4800030,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",47999,5,152.000000,"152",92.000000,"92","4700059",48000
4800031,1,1.000000,"1.000000",1.000000,"1.000000",0.488000,"0.488000",0.484000,"0.484000",0.743000,0.743000,"0.743000",47999,0,146.000000,"146",82.000000,"82","4700059",48000
4800032,1,0.440000,"0.440000",0.560000,"0.560000",0.464000,"0.464000",0.468000,"0.468000",0.483000,0.483000,"0.483000",47999,0,146.000000,"146",113.000000,"113","4700059",48000
4800033,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",47999,3,152.000000,"152",89.000000,"89","4700059",48000
4800034,1,0.532000,"0.532000",0.528000,"0.528000",0.536000,"0.536000",0.548000,"0.548000",0.536000,0.536000,"0.536000",47999,0,148.000000,"148",76.000000,"76","4700059",48000
4800035,1,0.516000,"0.516000",0.540000,"0.540000",0.532000,"0.532000",0.520000,"0.520000",0.527000,0.527000,"0.527000",47999,0,156.000000,"156",108.000000,"108","4700059",48000
4800036,1,0.564000,"0.564000",0.560000,"0.560000",0.548000,"0.548000",0.548000,"0.548000",0.555000,0.555000,"0.555000",47999,0,147.000000,"147",85.000000,"85","4700059",48000
4800037,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",47999,5,148.000000,"148",81.000000,"81","4700059",48000
4800038,1,0.500000,"0.500000",0.492000,"0.492000",0.496000,"0.496000",0.488000,"0.488000",0.494000,0.494000,"0.494000",47999,0,152.000000,"152",83.000000,"83","4700059",48000
4800039,1,0.460000,"0.460000",0.440000,"0.440000",0.432000,"0.432000",0.448000,"0.448000",0.445000,0.445000,"0.445000",47999,0,148.000000,"148",92.000000,"92","4700059",48000
4800040,1,0.448000,"0.448000",0.448000,"0.448000",0.444000,"0.444000",0.444000,"0.444000",0.446000,0.446000,"0.446000",47999,0,152.000000,"152",87.000000,"87","4700059",48000
4800041,1,0.508000,"0.508000",0.524000,"0.524000",0.516000,"0.516000",0.584000,"0.584000",0.533000,0.533000,"0.533000",47999,0,156.000000,"156",151.000000,"151","4700059",48000
4800042,1,0.512000,"0.512000",0.504000,"0.504000",0.496000,"0.496000",0.500000,"0.500000",0.503000,0.503000,"0.503000",47999,0,148.000000,"148",102.000000,"102","4700059",48000
4800043,1,0.520000,"0.520000",0.452000,"0.452000",0.512000,"0.512000",0.492000,"0.492000",0.494000,0.494000,"0.494000",47999,0,149.000000,"149",120.000000,"120","4700059",48000
4800044,1,0.552000,"0.552000",0.544000,"0.544000",0.464000,"0.464000",0.544000,"0.544000",0.526000,0.526000,"0.526000",47999,0,164.000000,"164",158.000000,"158","4700059",48000
4800045,1,1.000000,"1.000000",0.524000,"0.524000",0.516000,"0.516000",0.508000,"0.508000",0.637000,0.637000,"0.637000",47999,0,150.000000,"150",85.000000,"85","4700059",48000
4800046,1,0.496000,"0.496000",0.488000,"0.488000",0.504000,"0.504000",0.492000,"0.492000",0.495000,0.495000,"0.495000",47999,0,146.000000,"146",78.000000,"78","4700059",48000
4800047,1,0.520000,"0.520000",0.516000,"0.516000",0.516000,"0.516000",0.524000,"0.524000",0.519000,0.519000,"0.519000",47999,0,149.000000,"149",71.000000,"71","4700059",48000
4800048,1,1.000000,"1.000000",0.560000,"0.560000",0.568000,"0.568000",0.560000,"0.560000",0.672000,0.672000,"0.672000",47999,1,149.000000,"149",87.000000,"87","4700059",48000
4800049,1,0.464000,"0.464000",0.464000,"0.464000",0.476000,"0.476000",0.480000,"0.480000",0.471000,0.471000,"0.471000",47999,0,149.000000,"149",84.000000,"84","4700059",48000
4800050,1,0.520000,"0.520000",0.524000,"0.524000",0.532000,"0.532000",0.536000,"0.536000",0.528000,0.528000,"0.528000",47999,0,147.000000,"147",99.000000,"99","4700059",48000
4800051,1,0.448000,"0.448000",0.464000,"0.464000",0.468000,"0.468000",0.464000,"0.464000",0.461000,0.461000,"0.461000",47999,0,153.000000,"153",97.000000,"97","4700059",48000
4800052,1,0.500000,"0.500000",0.504000,"0.504000",0.504000,"0.504000",0.504000,"0.504000",0.503000,0.503000,"0.503000",47999,0,150.000000,"150",114.000000,"114","4700059",48000
4800053,1,0.492000,"0.492000",0.484000,"0.484000",0.480000,"0.480000",0.480000,"0.480000",0.484000,0.484000,"0.484000",47999,0,149.000000,"149",73.000000,"73","4700059",48000
4800054,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",47999,3,151.000000,"151",93.000000,"93","4700059",48000
4800055,1,1.000000,"1.000000",0.520000,"0.520000",0.524000,"0.524000",0.520000,"0.520000",0.641000,0.641000,"0.641000",47999,0,152.000000,"152",141.000000,"141","4700059",48000
4800056,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",47999,9,146.000000,"146",89.000000,"89","4700059",48000
4800057,1,0.548000,"0.548000",0.552000,"0.552000",0.488000,"0.488000",0.496000,"0.496000",0.521000,0.521000,"0.521000",47999,0,155.000000,"155",132.000000,"132","4700059",48000
4800058,1,0.492000,"0.492000",0.516000,"0.516000",0.532000,"0.532000",0.548000,"0.548000",0.522000,0.522000,"0.522000",47999,0,153.000000,"153",93.000000,"93","4700059",48000
4800059,1,0.492000,"0.492000",0.492000,"0.492000",0.512000,"0.512000",0.496000,"0.496000",0.498000,0.498000,"0.498000",47999,0,148.000000,"148",80.000000,"80","4700059",48000
4800060,1,0.480000,"0.480000",0.472000,"0.472000",0.476000,"0.476000",0.476000,"0.476000",0.476000,0.476000,"0.476000",47999,0,149.000000,"149",93.000000,"93","4700059",48000
