BRAIN_root::brainData,ID
"0000000000000000000100000001010000001000000000001000000001000100010001000000010000000100000100000001000000100001101100010000000100000000011000000101000000010000000001000000000010001001001000101011000000000010010000000001000010000001000010000000000000000001000000001000100000000010100000000000100100011000011000100001000000000000000000000100100000000101001000000000000000100000000100000100000000000000000000000000100000000001000000001000000000000101100100100010100000000000010000000001000000000010000000000000001001000000010000010000000000100000000000000000000000000010100000000000101000001000000000000010000001010000000010000000000001000000000000000010100000000000000000000100000000000101000000000100001100010110000000010000000010010000000000000010000000000000000000000001000010000010000101000011000100000001000000101000000000000010000000101001000000010000001100010001111000100000001000010000100100001000100000000000000110000001000000100000000100010001000000000001110010001010000001000100000100000000|36|947^920^985^904",4200001
"0010000100010000001100000001000000001000010000001000000001000100010001000000010001000000000101100001000000000000101100011000000100100100011000000101001000000000000001000100000010001001001000100000000000000010010010000000000000000000000000000000000000000001000000010000100000000010100000000000000100011100001000000001000000000000000000000100000000001001000000000000000000100010000100000100000001000010001000000000000000000001000001000000000000000101100110100010100010000000010000000101000000010010000000001000001000000000001000000010000000110000000000000000000000011000100000000000111000000100000000001010000001010000001110000000010001000000000110010010100000000000000001000100000000000101000000000000000100010110100100000000000010010000010000000000000000000000000000000000000010001010000001000011000101000001000000101000000000000010000000101000000000010000001000011001001000000000001000001000100100001000110100000000000110000001000001110010000000010001000001000001010010001010000001000100000000000000|36|947^920^985^904",4200002
"0000000100000000010100000001010000001000000010001001000001000000010000000000000000000100000100000001000000100001101100000000000100010000011000000101000000010000000000000000000010011001000000101000000000000010000000000001000010000000000010000000000000000001000000001001100000000010100000000000100100010000001000100001001000000000000000000100100000000001000000001000000000101000000000100100000000000010000000000000000000000001010000000000000000000001100100100010100000001000010000000001000000000010000000001000001000000000000000000000000000100000000000000011000000000010100000000000001000000000000000100010000001010000001010000000010001000000000000000010100100000000000001000100000000000101000000000000000100010110000000010000000010010000100000000000001000000000000000000000000010001010000101100010000100000001000000101000000000000010000000101001000000000000001100010001111000100000001000010010100100001001110000000000000110000001000000100000000000010001000001000001100010001010000001000100000100000000|36|947^920^985^904",4200003
"0000000100010000001100000001000000001000010000001001000001000100000001000000010000000000000101000001000000000000101100001000000100110000011000000101001000000000000001000100010010001001001000100000000000000010010010000001000000000000000010000000000000000001000000000010100000000010110000000000000100011100000000100001000000000000010001000100000000000101000000000000000000100000000100100100000001000000001000000000000000000001000001000000000000000101100110100010101000000000000000000101000000010010000000001000001000000000001000000010001000110000000000000000000000000000100000000000111000000100000000000010000001010000001110000000010001000000000010000010100000000000000001000100000000000100000000000000000100010110100000010000000010010000010000000000000000000000000000000000000010001010000001100011010101000001000000101000000000000011000000101010000000010000001100011001011000000000001000001000100100001000110100000000000110000001000000110010000000010001000001000001010000001010000000000100000000000000|36|947^920^985^904",4200004
"0010000100000000000100000001010101001000010000001000000001000100010001000000110000000000000100000001000000000001101100011000000100110000011000000101000000000000000000000000000010001001001000100000000000100000010000000001000010000000000010000010000000010001000000000010101000000010100000000000000100001010001000100001000000000000000000000100001000000000000000000100000000100000000100100100000001000010001000000000000000000001000000000000000000000101100100100010100000100000010000000101000000000010000000000000001000000000011000000010000001110000000000000000000000000010101000000000111000000100000000000000000000010000001110000000010001000000000000010010000000000000000001100100000000000101000000001010000100010110100000010000000010010000010000000000001000000000000000000000000010001010000001000011000001000001000000101000000000000010000010101001000000010001001100001001010000000000001000001000100100001001110100000000000110100001000000110000000000010001000001000001010110001010000001000100000000000000|36|947^920^985^904",4200005
"0000000100010000001100000001000000001000010000001001000001000100000001000000010000000000000101000001000001000000101100001000000100110000011000000101000000000000000001000100000010001001001000100000000000000010010010000001000000000000000010000000000000000001000000010010100010000010110000000000000100011100000000100001000000000000010001000100100000000101000000000000000000100000000100100100000000000000001000000000000000000001000000000000000000000101100010100010100000000000000000000101000000010010000000001000001000000000001000000010000000100000000100000000000000000000100000000000111000000100000000000010000001010000001110000000010001000000000010000010100000000000000001000100000000000100000000000000000100010110100000010000000010010000010000000000000000000000000000000000000010001010000001000011010101000001000000101001000000000010000000101010000000010000001100011001011000000000001000001000100100001000110100000000000110000001000000110010000000010001000001000001010010001010000000000100000000000000|36|947^920^985^904",4200006
"0000000000000000000100000001010000001000000000001001000001000100010001000000010000000100000000000001000000100001101100010000000100010000011000000101000001010000000001000000000010001001001000101001000000000010001000000001000010000000000010000000000000000001000000000000100000000010100000000000100100011000011000000001000000000000000000000100000000000101101000000000000000100000000100100100000000000000000000000000100000000001000000001000000000000101100100100000100000000000010000000001000000000010000000001000001000001000011000010000000001110000000000000000000000001010100000000000101000000000000000000010000001010000000010000000010000000000000000000010100000000000000000000100000000000101000000000100000100010110000000010000000010010000000000000010000000000000000000000001000010000010000001100011000100000001000000101000000000000110000000101001000000010000001100010001111000100000001000010000100100001000110000000000100110000001000000100000000100010001000000000001110010001010000001000100000000000000|36|947^920^985^904",4200007
"0010000100000100000100000001010101001000010000001000000001000100010001000000110000000000000100000001000000000001101100011000000100110000011000000101000000000000000000000000000010001001001000100000000000100000010000000001000010000000000010000000000000010001000000000010101000000010100000000000000101001010001000100001000000000000000000000100001000000000000000000100000000100000000100100100100001000010001000000000000000000001000000000000000000000101100100100010100001000000010000000101000000000010000000000000001000000000011000000010000000110000000000000000000000000010101000000000111000000000000000000000000001010000001110000000010001000000000000010010000000000000000001100100000000000101000000001010000100010110100000010000000010010000010000000000001000000000000000000000000010001010000001000011000001000001000000101000000000000010000010101001000000010001001100001001010000000000001000001000100100001001110100000000000110100001000000110000000000010001000001000001000110001010000001000100000000000000|36|947^920^985^904",4200008
"0010000100000000000100000001010101001000010000001000000001000100010001000000110000000000000100000001000000000001101100011000000100110001011000000101000000000000000000000000000010001001001000101000000000100000000000000001000000000000000010000000000000000001000000000010101000000010100000000000000100001010001000100001000000000000000000000100001000000000000000000000000000100000010100000100100001000010001000000000000000000001000000000000000000000101100100100010100000000000010000000101000000000010000000001000001000000000011000010010000000110000000000000000000000000010101000000000111000000100000000000000000000010000001010000000010001000000000010010010000000000000000001000100000000000101000000001010000100010110100000010000000010010000010000000000001000000000000000000000000010001010000001000011000001000001000000101000000000000010000010101001000000010001001100001001010000000000001000001000100100001001110100000000000110000001000000100000010000010001000001000001010110001010000101000100000000010000|36|947^920^985^904",4200009
"0010000100010000001100000001000000001000010000001000000000000100010001000000010000000000000101000001000000000000101100011000000100110000010000000101001000000000000000000100000010001001001000100000000000000010000010000001000000000000000010000000000000000001000000000000100000000010100000000000000100001100001000100001000000000000000000000100000000000101000000000001000000100010000100000100000001000010001000000000000000001000000001000000000000000101100110100000100000000000010000000101000000010010000100001000001000000000001000000010000000110000000000000000000000010010100000000000111000000100000000000010000001010000001110000000010001000000000010000010100000000000000000000100000000000101000000000000000100010110100000010000000010010000011000000000001000000000000000000000000010001010000001100011000101000001000000101000000000000010000000101000000000010000001100011001011000000000001000000000101100001000110100000000000100000001000001110010000000010001000001000001010110001010000001000100000000000000|36|947^967^985^904",4200010
